epoch;acc;auc;loss;lr
0;0.5478605495127323;0.5750110433173242;0.8521667857999533;0.002
1;0.6232954927437924;0.5973382813371421;0.6993960906682201;0.002
2;0.6462013838136942;0.6228495914332132;0.6526088185716991;0.002
3;0.6649425673806708;0.6399455536938886;0.6670247400860778;0.002
4;0.668637065952473;0.6514344732844822;0.6388082124851882;0.002
5;0.6773023443673034;0.6612614138151838;0.6372959919910959;0.002
6;0.6764962719591355;0.6692586754138229;0.6255673572271933;0.002
7;0.6795862161937823;0.6755935931378714;0.6266333483449318;0.002
8;0.688117149230607;0.6808815735858403;0.6263958181921387;0.002
9;0.6922818566974979;0.6857757422180455;0.6118464744550671;0.002
10;0.6932894471886897;0.6906200421259259;0.6082422542585635;0.002
11;0.6969167730714889;0.6949050757878092;0.6040160857266638;0.002
12;0.7004097535162254;0.6986602079822674;0.6053782566003549;0.002
13;0.7050446698902164;0.7019469646119267;0.5987328991545146;0.002
14;0.7097467589692256;0.7057836307514872;0.592915814382679;0.002
15;0.7068583328176027;0.7086654629245778;0.6044445883725675;0.002
16;0.7077987506438144;0.710958931026797;0.5922372233033252;0.002
17;0.7231812991640795;0.713930437629231;0.583244094913014;0.002
18;0.7161953382425762;0.7166898335700728;0.5915455695299494;0.002
19;0.7199570095033813;0.7192856556478626;0.5753900226431552;0.002
20;0.7206959092225462;0.7219367759458531;0.5761970249930854;0.002
21;0.7204272184144852;0.7242343323173249;0.5818834729673336;0.002
22;0.7292268422353482;0.7266058288892473;0.5670898917231909;0.002
23;0.7313091959868108;0.7291338190995895;0.5657247821827625;0.002
24;0.7241217169782798;0.7313057006970913;0.5728810165061683;0.002
25;0.720091354925429;0.7328883017647728;0.5855706999446367;0.002
26;0.7232484718570862;0.7345717565979865;0.5650195638744444;0.002
27;0.7262712434067339;0.736478492804785;0.562134784280297;0.002
28;0.7337945859283439;0.7384429202699883;0.557904214629831;0.002
29;0.732854168106136;0.7403574987456214;0.5592814540998365;0.002
30;0.7393699201085276;0.7423268468551177;0.5480135976527515;0.002
31;0.7417881373370351;0.7443831724549441;0.5415873659432211;0.002
