TITLE Color
BPM   120.0
NOTES
09 8.0
08 8.25
04 8.5
02 8.75
01 8.875
08 9.0
02 9.25
04 9.5
01 9.75
08 9.875
01 10.0
02 10.25
01 10.5
08 10.75
02 10.875
04 11.0
01 11.125
08 11.25
04 11.5
02 11.75
01 11.875
08 12.0
04 12.25
02 12.5
04 12.75
08 12.875
01 13.0
04 13.25
02 13.5
08 13.75
01 13.875
04 14.0
01 14.25
08 14.5
04 14.75
02 14.875
01 15.0
08 15.125
02 15.25
08 15.5
01 15.625
02 15.75
01 15.875
08 16.0
02 16.25
04 16.375
01 16.5
08 16.75
08 17.0
04 17.25
02 17.375
01 17.5
08 17.625
01 17.75
08 17.875
02 18.0
02 18.25
04 18.5
04 18.75
01 19.0
02 19.125
04 19.25
08 19.5
01 19.75
04 19.875
02 20.0
08 20.25
04 20.375
02 20.5
01 20.75
01 21.0
08 21.25
02 21.375
04 21.5
02 21.625
08 21.75
01 21.875
08 22.0
08 22.25
04 22.5
04 22.75
02 23.0
01 23.125
08 23.25
02 23.5
04 23.75
01 23.875
08 24.0
04 24.25
02 24.625
01 24.875
08 25.125
02 25.625
04 25.75
01 26.0
08 26.25
04 26.625
02 26.875
01 27.125
08 27.5
04 27.625
02 27.75
01 27.875
08 28.0
02 28.25
04 28.625
02 28.875
08 29.125
01 29.625
04 29.75
02 30.0
08 30.25
02 30.625
08 30.875
01 31.125
02 31.5
01 31.625
04 31.75
01 31.875
08 32.0
04 32.25
02 32.625
01 32.875
08 33.125
02 33.625
04 33.75
02 34.0
08 34.25
01 34.625
02 34.875
04 35.125
08 35.5
01 35.625
08 35.75
01 35.875
04 36.0
02 36.25
08 36.625
04 36.875
08 37.125
01 37.625
04 37.75
02 38.0
08 38.25
04 38.625
02 38.875
01 39.125
08 39.5
02 39.625
04 39.75
02 39.875
08 40.0
01 40.25
08 40.375
01 40.625
08 40.75
02 41.0
08 41.125
01 41.375
02 41.5
04 41.75
08 41.875
01 42.125
04 42.25
02 42.5
08 42.625
04 42.875
02 43.0
02 43.25
02 43.375
02 43.625
01 43.75
09 44.0
04 44.25
08 44.375
01 44.625
04 44.75
02 45.0
08 45.125
04 45.375
02 45.5
01 45.75
08 45.875
01 46.125
04 46.25
02 46.5
08 46.625
01 46.875
02 47.0
02 47.25
02 47.5
04 47.75
12 48.0
01 48.25
04 48.375
02 48.625
08 48.75
04 49.0
02 49.125
04 49.375
08 49.5
01 49.75
04 49.875
01 50.125
08 50.25
02 50.5
04 50.625
01 50.875
08 51.0
08 51.25
08 51.375
08 51.625
04 51.75
06 52.0
01 52.25
08 52.375
01 52.625
04 52.75
01 53.0
08 53.125
04 53.375
02 53.5
04 53.75
08 53.875
01 54.125
04 54.25
02 54.5
08 54.625
01 54.875
02 55.0
02 55.25
02 55.5
04 55.75
12 56.0
01 56.125
08 56.25
01 56.375
04 56.5
01 56.625
04 56.75
01 56.875
08 57.0
04 57.125
08 57.25
04 57.375
02 57.5
01 57.625
02 57.75
01 57.875
08 58.0
02 58.25
04 58.625
01 58.875
02 59.0
02 59.25
02 59.5
04 59.75
12 60.0
02 60.125
08 60.25
02 60.375
04 60.5
01 60.625
04 60.75
01 60.875
08 61.0
01 61.125
08 61.25
01 61.375
08 61.5
04 61.625
08 61.75
04 61.875
02 62.0
01 62.25
08 62.625
02 62.875
08 63.0
08 63.25
08 63.5
01 63.75
03 64.0
04 64.125
02 64.25
04 64.375
08 64.5
01 64.625
08 64.75
01 64.875
04 65.0
01 65.125
04 65.25
01 65.375
08 65.5
04 65.625
08 65.75
04 65.875
02 66.0
01 66.25
08 66.625
02 66.875
04 67.0
04 67.25
04 67.5
02 67.75
10 68.0
01 68.125
08 68.25
01 68.375
08 68.5
04 68.625
08 68.75
04 68.875
02 69.0
01 69.125
02 69.25
01 69.375
08 69.5
02 69.625
08 69.75
02 69.875
04 70.0
01 70.125
08 70.25
01 70.375
02 70.5
04 70.625
08 70.75
01 70.875
04 71.0
02 71.125
08 71.25
04 71.375
02 71.5
01 71.625
04 71.75
02 71.875
08 72.0
01 72.25
02 72.625
01 72.75
02 72.875
04 73.0
08 73.125
02 73.5
04 73.625
01 73.75
04 73.875
02 74.0
08 74.25
01 74.5
04 74.625
02 74.875
08 75.125
04 75.25
02 75.5
01 75.75
08 76.0
04 76.25
02 76.625
01 76.75
08 76.875
01 77.0
04 77.125
02 77.5
08 77.625
01 77.75
08 77.875
04 78.0
02 78.25
01 78.5
08 78.625
02 78.875
04 79.125
01 79.25
08 79.5
04 79.75
02 79.875
01 80.0
08 80.25
02 80.625
04 80.75
02 80.875
08 81.0
01 81.125
08 81.5
04 81.625
02 81.75
01 81.875
04 82.0
02 82.25
08 82.375
01 82.625
08 82.75
04 83.0
02 83.125
01 83.375
08 83.5
04 83.75
02 83.875
04 84.0
08 84.25
01 84.625
04 84.75
02 84.875
08 85.0
01 85.125
08 85.5
04 85.625
02 85.75
04 85.875
08 86.0
01 86.25
04 86.375
02 86.5
08 86.75
01 87.0
02 87.25
04 87.375
08 87.5
01 87.75
08 88.0
04 88.125
02 88.25
01 88.375
08 88.5
01 88.625
02 88.75
04 88.875
02 89.0
01 89.125
08 89.25
01 89.375
08 89.5
04 89.625
02 89.75
04 89.875
08 90.0
01 90.25
04 90.375
02 90.5
08 90.75
01 91.0
02 91.125
04 91.25
02 91.5
01 91.75
08 92.0
02 92.125
04 92.25
01 92.375
08 92.5
01 92.625
04 92.75
01 92.875
04 93.0
02 93.125
08 93.25
01 93.375
08 93.5
02 93.625
04 93.75
02 93.875
08 94.0
01 94.25
02 94.375
04 94.5
02 94.75
04 95.0
08 95.25
01 95.5
04 95.75
02 95.875
08 96.0
01 96.125
02 96.25
04 96.375
08 96.5
04 96.625
08 96.75
01 96.875
02 97.0
01 97.125
08 97.25
04 97.375
02 97.5
01 97.625
08 97.75
01 97.875
08 98.0
02 98.25
04 98.5
01 98.625
08 98.75
04 99.0
02 99.125
04 99.25
08 99.5
01 99.75
08 100.0
02 100.125
08 100.25
02 100.375
04 100.5
01 100.625
08 100.75
01 100.875
04 101.0
02 101.125
08 101.25
01 101.375
04 101.5
02 101.625
08 101.75
02 101.875
08 102.0
01 102.125
02 102.25
04 102.375
08 102.5
02 102.625
04 102.75
01 102.875
08 103.0
02 103.125
04 103.25
01 103.375
02 103.5
04 103.625
08 103.75
01 103.875
08 104.0
