TITLE Emblem
BPM   120.0
NOTES
0001 5.875
1000 5.9375
0001 6.0
0010 6.125
0100 6.25
0010 6.375
0001 6.5
1000 6.625
0010 6.75
0100 6.875
0001 7.0
1000 7.125
0100 7.25
1000 7.375
0001 7.5
0100 7.625
0001 7.875
1000 8.0
0100 8.125
0010 8.375
0001 8.5
0010 8.625
0001 8.75
1000 9.0
0100 9.125
0010 9.25
0001 9.5
0010 9.625
0001 9.75
1000 9.875
0001 9.9375
1000 10.0
0100 10.125
0010 10.375
0001 10.4375
0010 10.5
0110 10.75
1100 11.0
1000 11.25
0100 11.375
1000 11.625
0001 11.875
0100 12.0
0001 12.125
0010 12.5
0100 12.625
1000 12.75
0100 12.875
1000 13.0
0001 13.125
0100 13.25
0010 13.375
1000 13.5
0001 13.625
1000 13.75
0100 13.875
0010 14.0
0001 14.125
1001 14.5
1000 15.0
0010 15.125
0100 15.25
0001 15.375
1000 15.5
0001 15.625
0010 15.75
0100 16.0
1000 16.125
0001 16.25
0100 16.375
0001 16.5
1000 16.625
0001 16.75
0020 16.875
0130 17.0
1000 17.125
0100 17.25
1000 17.375
0001 17.5
1000 17.625
0100 17.75
1000 17.875
0001 18.125
0010 18.25
0001 18.375
0100 18.5
0010 18.625
1000 18.75
0001 18.875
0010 18.9375
0001 19.0
0011 19.25
1100 19.5
1000 19.75
0001 19.875
0100 20.125
0010 20.375
1000 20.5
0001 20.625
0010 21.0
0001 21.125
1000 21.25
0010 21.375
1000 21.5
0100 21.625
0010 21.75
0001 21.875
1000 22.0
0100 22.125
1000 22.25
0001 22.375
0010 22.5
0100 22.625
1100 23.0
1000 23.25
0010 23.375
1000 23.5
0100 23.625
0010 23.75
0001 23.875
1000 24.0
0001 24.25
0100 24.375
0001 24.5
0100 24.625
0010 24.75
1000 24.875
0100 25.0
0010 25.125
0001 25.25
1000 25.5
0100 25.625
0010 25.75
0001 25.875
0100 26.0
0010 26.125
1000 26.25
0010 26.375
0100 26.5
0001 26.625
0010 26.75
0100 26.875
1000 27.0
0001 27.125
1000 27.25
0001 27.375
0100 27.5
0010 27.875
1000 28.0
0010 28.125
0100 28.25
0001 28.375
0010 28.5
0100 28.625
1000 28.75
0100 29.125
1000 29.25
1010 29.5
0101 29.75
0011 30.0
1100 30.25
1000 30.75
0001 30.875
1000 31.0
0001 31.125
1000 31.375
0100 31.5
1000 31.625
0100 31.75
1000 31.875
0100 32.125
0010 32.25
0001 32.375
0010 32.5
0001 32.625
1000 32.875
0001 33.0
0100 33.125
0001 33.1875
0100 33.25
0001 33.5
1000 33.625
0100 33.75
0010 33.875
0100 34.0
1000 34.125
0001 34.375
0100 34.5
0010 34.625
0100 34.75
0001 34.875
1000 35.125
0100 35.25
0010 35.375
0001 35.5
1000 35.625
0001 35.875
0100 36.0
0001 36.125
1000 36.375
0100 36.5
1000 36.5625
0100 36.625
0010 36.75
0001 36.875
0010 37.0
0001 37.125
1000 37.375
0010 37.5
0100 37.625
0001 37.75
1000 37.875
0100 38.125
0010 38.25
0001 38.375
1000 38.5
0001 38.625
1000 38.875
0100 39.0
0010 39.25
0001 39.375
1000 39.625
0001 39.75
0010 39.875
0001 40.0
0010 40.125
0100 40.375
1000 40.5
0001 40.625
1000 40.75
0010 40.875
0100 41.125
0001 41.25
0010 41.375
0100 41.5
1000 41.625
0010 41.875
1000 42.0
0010 42.125
1000 42.25
0100 42.375
0010 42.5
0001 42.625
1000 42.75
0010 42.875
0100 43.0
0010 43.125
1000 43.375
0001 43.5
1001 43.75
1100 44.0
0100 44.25
0010 44.375
0001 44.5
1000 44.625
0010 44.875
1000 45.0
0001 45.125
1000 45.25
0100 45.375
1000 45.625
0010 45.75
0100 45.875
0001 46.0
1000 46.125
0001 46.25
0100 46.375
0010 46.5
1000 46.625
0100 46.75
0010 46.875
0001 47.125
0100 47.25
0010 47.375
1000 47.5
0001 47.625
1000 47.75
0100 47.875
1000 48.0
1100 48.25
0101 48.5
0001 48.75
1000 48.875
0100 49.0
0010 49.125
0001 49.375
1000 49.5
0010 49.75
0100 49.875
0001 50.125
1000 50.25
0100 50.375
0010 50.5
0001 50.625
1000 50.875
0010 51.0
0100 51.25
0010 51.5
0100 51.625
0001 51.75
1000 51.875
0100 51.9375
1000 52.0
0001 52.125
1000 52.25
0001 52.375
0100 52.5
0010 52.75
1000 52.875
0001 53.125
0010 53.25
0100 53.375
1000 53.5
0100 53.625
0010 53.875
0001 54.0
1000 54.125
0010 54.25
0100 54.375
0001 54.4375
0100 54.5
0010 54.625
1000 54.75
0100 55.0
0010 55.125
0001 55.375
1000 55.5
0010 55.75
0100 55.875
0001 56.125
1000 56.25
0010 56.375
0100 56.5
0001 56.75
1000 57.0
0100 57.125
0010 57.375
0100 57.5
1000 57.75
0001 57.875
0100 58.125
0010 58.25
0100 58.375
0001 58.5
1000 58.75
0100 59.0
0010 59.125
0100 59.375
1000 59.5
0001 59.75
0100 59.875
0010 60.125
1000 60.25
0001 60.375
1000 60.5
0100 60.75
0010 60.875
0001 61.0
0010 61.125
0100 61.25
0010 61.375
0001 61.5
1000 61.75
0010 61.875
0100 62.0
0001 62.125
1000 62.25
0001 62.375
0010 62.5
0001 62.625
1000 62.6875
0001 62.75
0100 62.875
0010 63.0
1000 63.125
0001 63.25
0010 63.375
0100 63.5
0010 63.625
0001 63.75
0100 63.875
0010 64.0
0100 64.125
0001 64.25
1000 64.375
0100 64.625
1000 64.75
0001 64.875
1000 65.125
0100 65.25
0010 65.375
0100 65.5
1000 65.75
0010 65.875
0100 66.0
0001 66.25
0100 66.375
0001 66.5
1000 66.625
0100 66.6875
1000 66.75
0001 66.875
1000 67.125
0001 67.1875
1000 67.25
1010 67.5
0110 67.75
0100 68.0
0001 68.125
1000 68.375
0010 68.625
0100 68.75
0010 68.875
1000 69.25
0001 69.375
0010 69.5
0001 69.625
1000 69.75
0001 69.875
0100 70.0
0010 70.125
1000 70.25
0010 70.375
1000 70.5
0100 70.625
0010 70.75
0001 70.875
0011 71.25
0010 71.75
0001 71.875
0100 72.0
0001 72.125
1000 72.25
0100 72.375
0010 72.5
0100 72.75
1000 72.875
0010 73.0
0100 73.125
0001 73.25
1000 73.375
0001 73.5
2000 73.625
3100 73.75
0010 73.875
0100 74.0
1000 74.125
0010 74.25
0100 74.375
0001 74.5
1000 74.625
0100 74.875
1000 75.0
0001 75.125
0010 75.25
0001 75.375
1000 75.5
0001 75.625
0100 75.6875
0001 75.75
0101 76.0
1001 76.25
1000 76.5
0010 76.625
1000 76.875
0001 77.125
0100 77.25
0010 77.375
1000 77.75
0001 77.875
