TITLE M.A.Y.U
BPM   128.0
NOTES
2000 7.5
3002 9.375
0203 11.25
0310 15.0
1000 15.234375
0001 15.46875
0010 15.703125
0011 15.9375
0001 16.171875
0100 16.2890625
0010 16.5234375
0100 16.7578125
0001 16.875
1000 17.109375
0100 17.2265625
0010 17.4609375
0100 17.6953125
1000 17.8125
0001 18.046875
0100 18.1640625
0010 18.3984375
1000 18.6328125
0001 18.75
0010 18.984375
0001 19.21875
1000 19.453125
1010 19.6875
0010 19.921875
0100 20.15625
0001 20.2734375
1000 20.5078125
0100 20.625
0010 20.859375
0100 21.09375
1000 21.2109375
0001 21.4453125
0100 21.5625
0010 21.796875
1000 21.9140625
0001 22.03125
1000 22.265625
1000 22.5
0001 22.734375
0010 22.96875
0100 23.203125
1100 23.4375
1000 23.671875
0001 23.7890625
0100 24.0234375
0001 24.2578125
0010 24.375
0100 24.609375
1000 24.7265625
0010 24.9609375
0100 25.1953125
0001 25.3125
1000 25.546875
0100 25.6640625
1000 25.8984375
0001 26.1328125
0100 26.25
0110 26.71875
0110 27.1875
0110 27.65625
0110 28.125
0010 28.359375
1000 28.59375
0001 28.828125
0010 29.0625
0100 29.1796875
0010 29.296875
0100 29.4140625
1000 29.53125
1001 30.0
1001 30.3515625
2002 30.703125
3000 31.0546875
0103 31.40625
0010 31.5234375
0100 31.640625
0101 31.875
0101 32.2265625
0101 32.578125
0100 32.8125
0010 32.9296875
0100 33.046875
0001 33.1640625
0010 33.28125
0100 33.3984375
1000 33.515625
0001 33.6328125
2000 33.75
3000 37.03125
1001 37.5
1001 37.8515625
2002 38.203125
0003 38.5546875
3100 38.90625
0010 39.0234375
0100 39.140625
1100 39.375
1100 39.7265625
1100 40.078125
0100 40.3125
0010 40.4296875
0001 40.546875
1000 40.6640625
0001 40.78125
0100 40.8984375
0010 41.015625
1000 41.1328125
0002 41.25
0003 44.53125
1001 45.0
1100 45.3515625
1002 45.703125
0100 46.0546875
0103 46.40625
0010 46.5234375
