TITLE Color
BPM   120.0
NOTES
1001 8.436
1000 8.686
0100 8.936
0010 9.186
0001 9.311
1000 9.436
0010 9.686
0100 9.936
0001 10.186
1000 10.311
0001 10.436
0010 10.686
0001 10.936
1000 11.186
0010 11.311
0100 11.436
0001 11.561
1000 11.686
0100 11.936
0010 12.186
0001 12.311
1000 12.436
0100 12.686
0010 12.936
0100 13.186
1000 13.311
0001 13.436
0100 13.686
0010 13.936
1000 14.186
0001 14.311
0100 14.436
0001 14.686
1000 14.936
0100 15.186
0010 15.311
0001 15.436
1000 15.561
0010 15.686
1000 15.936
0001 16.061
0010 16.186
0001 16.311
1000 16.436
0010 16.686
0100 16.811
0001 16.936
1000 17.186
1000 17.436
0100 17.686
0010 17.811
0001 17.936
1000 18.061
0001 18.186
1000 18.311
0010 18.436
0010 18.686
0100 18.936
0100 19.186
0001 19.436
0010 19.561
0100 19.686
1000 19.936
0001 20.186
0100 20.311
0010 20.436
1000 20.686
0100 20.811
0010 20.936
0001 21.186
0001 21.436
1000 21.686
0010 21.811
0100 21.936
0010 22.061
1000 22.186
0001 22.311
1000 22.436
1000 22.686
0100 22.936
0100 23.186
0010 23.436
0001 23.561
1000 23.686
0010 23.936
0100 24.186
0001 24.311
1000 24.436
0100 24.686
0010 25.061
0001 25.311
1000 25.561
0010 26.061
0100 26.186
0001 26.436
1000 26.686
0100 27.061
0010 27.311
0001 27.561
1000 27.936
0100 28.061
0010 28.186
0001 28.311
1000 28.436
0010 28.686
0100 29.061
0010 29.311
1000 29.561
0001 30.061
0100 30.186
0010 30.436
1000 30.686
0010 31.061
1000 31.311
0001 31.561
0010 31.936
0001 32.061
0100 32.186
0001 32.311
1000 32.436
0100 32.686
0010 33.061
0001 33.311
1000 33.561
0010 34.061
0100 34.186
0010 34.436
1000 34.686
0001 35.061
0010 35.311
0100 35.561
1000 35.936
0001 36.061
1000 36.186
0001 36.311
0100 36.436
0010 36.686
1000 37.061
0100 37.311
1000 37.561
0001 38.061
0100 38.186
0010 38.436
1000 38.686
0100 39.061
0010 39.311
0001 39.561
1000 39.936
0010 40.061
0100 40.186
0010 40.311
1000 40.436
0001 40.686
1000 40.811
0001 41.061
1000 41.186
0010 41.436
1000 41.561
0001 41.811
0010 41.936
0100 42.186
1000 42.311
0001 42.561
0100 42.686
0010 42.936
1000 43.061
0100 43.311
0020 43.436
0030 43.686
0020 43.811
0030 44.061
0002 44.186
1003 44.436
0100 44.686
1000 44.811
0001 45.061
0100 45.186
0010 45.436
1000 45.561
0100 45.811
0010 45.936
0001 46.186
1000 46.311
0001 46.561
0100 46.686
0010 46.936
1000 47.061
0001 47.311
0010 47.436
0020 47.686
0030 47.936
0200 48.186
1300 48.436
0001 48.686
0100 48.811
0010 49.061
1000 49.186
0100 49.436
0010 49.561
0100 49.811
1000 49.936
0001 50.186
0100 50.311
0001 50.561
1000 50.686
0010 50.936
0100 51.061
0001 51.311
2000 51.436
3000 51.686
2000 51.811
3000 52.061
0200 52.186
0310 52.436
0001 52.686
1000 52.811
0001 53.061
0100 53.186
0001 53.436
1000 53.561
0100 53.811
0010 53.936
0100 54.186
1000 54.311
0001 54.561
0100 54.686
0010 54.936
1000 55.061
0001 55.311
0010 55.436
0020 55.686
0030 55.936
0200 56.186
1300 56.436
0001 56.561
1000 56.686
0001 56.811
0100 56.936
0001 57.061
0100 57.186
0001 57.311
1000 57.436
0100 57.561
1000 57.686
0100 57.811
0010 57.936
0001 58.061
0010 58.186
0001 58.311
1000 58.436
0010 58.686
0100 59.061
0001 59.311
0010 59.436
0020 59.686
0030 59.936
0200 60.186
1300 60.436
0010 60.561
1000 60.686
0010 60.811
0100 60.936
0001 61.061
0100 61.186
0001 61.311
1000 61.436
0001 61.561
1000 61.686
0001 61.811
1000 61.936
0100 62.061
1000 62.186
0100 62.311
0010 62.436
0001 62.686
1000 63.061
0010 63.311
1000 63.436
2000 63.686
3000 63.936
0002 64.186
0013 64.436
0100 64.561
0010 64.686
0100 64.811
1000 64.936
0001 65.061
1000 65.186
0001 65.311
0100 65.436
0001 65.561
0100 65.686
0001 65.811
1000 65.936
0100 66.061
1000 66.186
0100 66.311
0010 66.436
0001 66.686
1000 67.061
0010 67.311
0100 67.436
0200 67.686
0300 67.936
0020 68.186
1030 68.436
0001 68.561
1000 68.686
0001 68.811
1000 68.936
0100 69.061
1000 69.186
0100 69.311
0010 69.436
0001 69.561
0010 69.686
0001 69.811
1000 69.936
0010 70.061
1000 70.186
0010 70.311
0100 70.436
0001 70.561
1000 70.686
0001 70.811
0010 70.936
0100 71.061
1000 71.186
0001 71.311
0100 71.436
0010 71.561
1000 71.686
0100 71.811
0010 71.936
0001 72.061
0100 72.186
0010 72.311
1000 72.436
0001 72.686
0010 73.061
0001 73.186
0010 73.311
0100 73.436
1000 73.561
0010 73.936
0100 74.061
0001 74.186
0100 74.311
0010 74.436
1000 74.686
0001 74.936
0100 75.061
0010 75.311
1000 75.561
0100 75.686
0010 75.936
0001 76.186
1000 76.436
0100 76.686
0010 77.061
0001 77.186
1000 77.311
0001 77.436
0100 77.561
0010 77.936
1000 78.061
0001 78.186
1000 78.311
0100 78.436
0010 78.686
0001 78.936
1000 79.061
0010 79.311
0100 79.561
0001 79.686
1000 79.936
0100 80.186
0010 80.311
0001 80.436
1000 80.686
0010 81.061
0100 81.186
0010 81.311
1000 81.436
0001 81.561
1000 81.936
0100 82.061
0010 82.186
0001 82.311
0100 82.436
0010 82.686
1000 82.811
0001 83.061
1000 83.186
0100 83.436
0010 83.561
0001 83.811
1000 83.936
0100 84.186
0010 84.311
0100 84.436
1000 84.686
0001 85.061
0100 85.186
0010 85.311
1000 85.436
0001 85.561
1000 85.936
0100 86.061
0010 86.186
0100 86.311
1000 86.436
0001 86.686
0100 86.811
0010 86.936
1000 87.186
0001 87.436
0010 87.686
0100 87.811
1000 87.936
0001 88.186
1000 88.436
0100 88.561
0010 88.686
0001 88.811
1000 88.936
0001 89.061
0010 89.186
0100 89.311
0010 89.436
0001 89.561
1000 89.686
0001 89.811
1000 89.936
0100 90.061
0010 90.186
0100 90.311
1000 90.436
0001 90.686
0100 90.811
0010 90.936
1000 91.186
0001 91.436
0010 91.561
0100 91.686
0010 91.936
0001 92.186
1000 92.436
0010 92.561
0100 92.686
0001 92.811
1000 92.936
0001 93.061
0100 93.186
0001 93.311
0100 93.436
0010 93.561
1000 93.686
0001 93.811
1000 93.936
0010 94.061
0100 94.186
0010 94.311
1000 94.436
0001 94.686
0010 94.811
0100 94.936
0010 95.186
0100 95.436
1000 95.686
0001 95.936
0100 96.186
