TITLE Emblem
BPM   120.0
NOTES
0001 6.5969999999999995
1000 6.6594999999999995
0001 6.7219999999999995
0010 6.8469999999999995
0100 6.9719999999999995
0010 7.0969999999999995
0001 7.2219999999999995
1000 7.3469999999999995
0010 7.4719999999999995
0100 7.5969999999999995
0001 7.7219999999999995
1000 7.8469999999999995
0100 7.9719999999999995
1000 8.097
0001 8.222
0100 8.347
0001 8.597
1000 8.722
0100 8.847
0010 9.097
0001 9.222
0010 9.347
0001 9.472
1000 9.722
0100 9.847
0010 9.972
0001 10.222
0010 10.347
0001 10.472
1000 10.597
0001 10.6595
1000 10.722
0100 10.847
0010 11.097
0001 11.1595
0010 11.222
0110 11.472
1100 11.722
1000 11.972
0100 12.097
1000 12.347
0001 12.597
0100 12.722
0001 12.847
0010 13.222
0100 13.347
1000 13.472
0100 13.597
1000 13.722
0001 13.847
0100 13.972
0010 14.097
1000 14.222
0001 14.347
1000 14.472
0100 14.597
0010 14.722
0001 14.847
1001 15.222
1000 15.722
0010 15.847
0100 15.972
0001 16.097
1000 16.222
0001 16.347
0010 16.472
0100 16.722
1000 16.847
0001 16.972
0100 17.097
0001 17.222
1000 17.347
0001 17.472
0020 17.597
0130 17.722
1000 17.847
0100 17.972
1000 18.097
0001 18.222
1000 18.347
0100 18.472
1000 18.597
0001 18.847
0010 18.972
0001 19.097
0100 19.222
0010 19.347
1000 19.472
0001 19.597
0010 19.6595
0001 19.722
0011 19.972
1100 20.222
1000 20.472
0001 20.597
0100 20.847
0010 21.097
1000 21.222
0001 21.347
0010 21.722
0001 21.847
1000 21.972
0010 22.097
1000 22.222
0100 22.347
0010 22.472
0001 22.597
1000 22.722
0100 22.847
1000 22.972
0001 23.097
0010 23.222
0100 23.347
1100 23.722
1000 23.972
0010 24.097
1000 24.222
0100 24.347
0010 24.472
0001 24.597
1000 24.722
0001 24.972
0100 25.097
0001 25.222
0100 25.347
0010 25.472
1000 25.597
0100 25.722
0010 25.847
0001 25.972
1000 26.222
0100 26.347
0010 26.472
0001 26.597
0100 26.722
0010 26.847
1000 26.972
0010 27.097
0100 27.222
0001 27.347
0010 27.472
0100 27.597
1000 27.722
0001 27.847
1000 27.972
0001 28.097
0100 28.222
0010 28.597
1000 28.722
0010 28.847
0100 28.972
0001 29.097
0010 29.222
0100 29.347
1000 29.472
0100 29.847
1000 29.972
1010 30.222
0101 30.472
0011 30.722
1100 30.972
1000 31.472
0001 31.597
1000 31.722
0001 31.847
1000 32.097
0100 32.222
1000 32.347
0100 32.472
1000 32.597
0100 32.847
0010 32.972
0001 33.097
0010 33.222
0001 33.347
1000 33.597
0001 33.722
0100 33.847
0001 33.9095
0100 33.972
0001 34.222
1000 34.347
0100 34.472
0010 34.597
0100 34.722
1000 34.847
0001 35.097
0100 35.222
0010 35.347
0100 35.472
0001 35.597
1000 35.847
0100 35.972
0010 36.097
0001 36.222
1000 36.347
0001 36.597
0100 36.722
0001 36.847
1000 37.097
0100 37.222
1000 37.2845
0100 37.347
0010 37.472
0001 37.597
0010 37.722
0001 37.847
1000 38.097
0010 38.222
0100 38.347
0001 38.472
1000 38.597
0100 38.847
0010 38.972
0001 39.097
1000 39.222
0001 39.347
1000 39.597
0100 39.722
0010 39.972
0001 40.097
1000 40.347
0001 40.472
0010 40.597
0001 40.722
0010 40.847
0100 41.097
1000 41.222
0001 41.347
1000 41.472
0010 41.597
0100 41.847
0001 41.972
0010 42.097
0100 42.222
1000 42.347
0010 42.597
1000 42.722
0010 42.847
1000 42.972
0100 43.097
0010 43.222
0001 43.347
1000 43.472
0010 43.597
0100 43.722
0010 43.847
1000 44.097
0001 44.222
1001 44.472
1100 44.722
0100 44.972
0010 45.097
0001 45.222
1000 45.347
0010 45.597
1000 45.722
0001 45.847
1000 45.972
0100 46.097
1000 46.347
0010 46.472
0100 46.597
0001 46.722
1000 46.847
0001 46.972
0100 47.097
0010 47.222
1000 47.347
0100 47.472
0010 47.597
0001 47.847
0100 47.972
0010 48.097
1000 48.222
0001 48.347
1000 48.472
0100 48.597
1000 48.722
1100 48.972
0101 49.222
0001 49.472
1000 49.597
0100 49.722
0010 49.847
0001 50.097
1000 50.222
0010 50.472
0100 50.597
0001 50.847
1000 50.972
0100 51.097
0010 51.222
0001 51.347
1000 51.597
0010 51.722
0100 51.972
0010 52.222
0100 52.347
0001 52.472
1000 52.597
0100 52.6595
1000 52.722
0001 52.847
1000 52.972
0001 53.097
0100 53.222
0010 53.472
1000 53.597
0001 53.847
0010 53.972
0100 54.097
1000 54.222
0100 54.347
0010 54.597
0001 54.722
1000 54.847
0010 54.972
0100 55.097
0001 55.1595
0100 55.222
0010 55.347
1000 55.472
0100 55.722
0010 55.847
0001 56.097
1000 56.222
0010 56.472
0100 56.597
0001 56.847
1000 56.972
0010 57.097
0100 57.222
0001 57.472
1000 57.722
0100 57.847
0010 58.097
0100 58.222
1000 58.472
0001 58.597
0100 58.847
0010 58.972
0100 59.097
0001 59.222
1000 59.472
0100 59.722
0010 59.847
0100 60.097
1000 60.222
0001 60.472
0100 60.597
0010 60.847
1000 60.972
0001 61.097
1000 61.222
0100 61.472
0010 61.597
0001 61.722
0010 61.847
0100 61.972
0010 62.097
0001 62.222
1000 62.472
0010 62.597
0100 62.722
0001 62.847
1000 62.972
0001 63.097
0010 63.222
0001 63.347
1000 63.4095
0001 63.472
0100 63.597
0010 63.722
1000 63.847
0001 63.972
0010 64.097
0100 64.222
0010 64.347
0001 64.472
0100 64.597
0010 64.722
0100 64.847
0001 64.972
1000 65.097
0100 65.347
1000 65.472
0001 65.597
1000 65.847
0100 65.972
0010 66.097
0100 66.222
1000 66.472
0010 66.597
0100 66.722
0001 66.972
0100 67.097
0001 67.222
1000 67.347
0100 67.4095
1000 67.472
0001 67.597
1000 67.847
0001 67.9095
1000 67.972
1010 68.222
0110 68.472
0100 68.722
0001 68.847
1000 69.097
0010 69.347
0100 69.472
0010 69.597
1000 69.972
0001 70.097
0010 70.222
0001 70.347
1000 70.472
0001 70.597
0100 70.722
0010 70.847
1000 70.972
0010 71.097
1000 71.222
0100 71.347
0010 71.472
0001 71.597
0011 71.972
0010 72.472
0001 72.597
0100 72.722
0001 72.847
1000 72.972
0100 73.097
0010 73.222
0100 73.472
1000 73.597
0010 73.722
0100 73.847
0001 73.972
1000 74.097
0001 74.222
2000 74.347
3100 74.472
0010 74.597
0100 74.722
1000 74.847
0010 74.972
0100 75.097
0001 75.222
1000 75.347
0100 75.597
1000 75.722
0001 75.847
0010 75.972
0001 76.097
1000 76.222
0001 76.347
0100 76.4095
0001 76.472
0101 76.722
